,actives,decoys,cid
0,C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC(=O)C=Cn1c(-c2ccc3cc[nH]c3c2)nc2c(=O)[nH]ccc21,156461678
50,C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC(C)NC(=O)NNC(=O)NC(C)C(=O)NC1CC1C1=CCC(Br)=C1,163239225
100,C1C(CN1)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CCC(NC(=O)NC(=O)Nc1cc(C)n[nH]1)C(O)C1=CC(Br)=C=C1,163239257
150,C1=CC2=NC(=CC(=O)N2C=C1)C(=O)NCC3=CC4=C(C=C3)C=CN4,O=C(Cc1coc(-c2cccc3n[nH]cc23)n1)Nc1ccccc1,156442188
200,C1=CC2=NC(=CC(=O)N2C=C1)C(=O)NCC3=CC4=C(C=C3)C=C(N4)CO,CCc1ccc2c(c1)[nH]c1[nH]c(=O)n(Cc3ccncc3OC)c(=O)c12,156442376
250,C1=CC2=CC(=CN2C=C1)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1cccnc1-n1ncc2nc(-c3cccc(O)c3)c(O)cc21,156442165
300,C1=C(C2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)/C=C/CCN)O)O)N)Br,CC1C(N)CCN1C(=O)Nc1ccc(Br)cc1OC(N)=CN,171400800
350,C1C(CO1)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,Cc1c(Br)ccc2c1NCCOC(=O)CC1ON=C(N)C1NC2=O,163239238
400,CC1=CN2C=C(N=C2C=C1)CNC(=O)C3=CC(=O)N4C=CC=CC4=C3,COC(=O)c1cn(-c2ccc(-c3nc4ccccc4[nH]3)cc2)nc1C,163239156
450,C1C(CN1)C/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CCN1CCNC2CCN(C(=O)C(=O)NCC3=CC(Br)N=C3O)CC21,163239323
500,C1CNCCC1CC[C@@H]2[C@H]([C@@H]([C@@H](O2)N3C=CC4=C(N=CN=C43)N)F)O,CC(C)(NC1CCC(F)C1)C(=O)NC(=O)Nc1ccc2[nH]ncc2c1,166626182
