actives,decoys,cid
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC(=O)C=Cn1c(-c2ccc3cc[nH]c3c2)nc2c(=O)[nH]ccc21,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CNc1cc(C(=O)Nc2n[nH]c3ccccc3c2=O)c(C)cc1C,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CCOC(=O)c1cc(-c2cccc3nc4cc(C)ccc4n23)n[nH]1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1cc2c(cc1N)C(=O)N(Cc1nc3ccccc3[nH]1)CCO2,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1ccnc(CNC(=O)Nc2cc3cc(O)ccc3cc2C)n1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Nc1ccccc1NC(=O)CCc1nc2ccccc2n1CCO,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=CC(=C)Oc1cc2ccnn2cc1NC(=O)Nc1ccccc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=C1CN=C(c2ccc(-c3n[nH]c(=O)o3)cc2)c2nccc(C)c21,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C(Nc1cnnc2cc3ccccc3nc12)c1ccccc1O,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1[nH]c(-c2ccccc2)nc1CNC(=O)COc1ccccn1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC1NC(=O)Nc2ccc(Oc3ccc(-n4cccn4)cc3)cc21,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC(=O)c1ccnc(NC(=O)c2cccc(-c3ccncc3)c2)n1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C(Cc1ccc(-c2nc3ccccc3[nH]2)cn1)N1CCOCC1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=c1cc(OC)c(-c2nnc(-c3cccnc3)c(=O)[nH]2)cc1=CC,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=NC(=C)c1ccc(NC(=O)c2nc(-c3ccccc3)no2)cc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1ccc(-n2cnc(C(=O)NC(CO)c3ccccc3)n2)cc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C(N=c1[nH]nc2n1C=CC2=O)c1ccc2ccccc2c1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C1C=C(c2ccccc2)N=Cc2ccccc2NNC(=O)CN1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,NC=C(CO)c1ccc(-c2ccc(Oc3ccncc3)cc2)nn1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1cn[nH]c(=O)c1Nc1ccccc1OCc1ccn(C)c1C,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,N#Cc1ccc(Oc2ccc(-c3noc4nccnc34)cc2)cc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=Nc1c(-c2ccncc2)ncc2c1Oc1ccccc1C(=O)N2,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,COc1ccc(-c2n[nH]cc2CN(C)Cc2cc(O)ccn2)cc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cn1c(=O)c(NC(=O)Nc2ccccc2C#N)cc2ccccc21,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C1=C(c2ccc(-c3ccc(OCc4nnn[nH]4)cc3)cc2)COC1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CCN(C(=O)c1ccoc1)c1cc2c[nH]cc2cc1NC(C)=NC,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CNNC(=NC(=O)N1c2ccccc2CC1C)c1cccc(O)c1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C(Nc1cccnc1)c1n[nH]c2ccc(OC3CCCC3)cc12,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=CNc1ccc(-c2noc(CNc3ccccc3OC)n2)cc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Oc1cccc(C(c2ccc3c(c2)CN=N3)c2ccnnc2O)c1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1nc(-c2ccccc2O)cc(C2Nc3ncccc3CO2)n1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC(Cc1n[nH]c(=O)[nH]1)c1cccc(-c2ccc(C=CC=N)o2)c1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=C1C=c2nc(N=CN=C(C)Nc3ccccc3OC)oc2=CC1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CCc1nn(C)c(OC)c1CNC(=O)c1c[nH]c2c(C)cccc12,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1occ2cc3cc(-c4nncc5c(N)onc45)ccc3cc12,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=CC(=CC)N(CC)c1cc(C(=O)Nc2ccccc2O)cnn1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,COc1ccccc1Oc1ncc(N=Cc2ccccc2)nc1N,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C(NCc1ncnc(-c2ccncc2)c1CO)c1ccccc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,COc1ccc(Nc2ncc(C)cc2C)cc1NCc1ncco1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CCc1ccc(NC(=O)c2ccc(NC)nc2-c2cnoc2)cc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CCn1c(=O)[nH]c2nc(-c3ccc(C(C)C)cc3)cnc21,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,COC(=Cc1ccccc1)C=c1cc(C#N)nc2c1=CC(=O)NN2,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC(C)c1ccccc1NC(=O)C=C1Cn2nccc2C(=O)N1C,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C(Nc1ccc2c(c1)OCCN2)N1C=Cc2ccccc2C1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,C=CC(=C)N(C)C(=O)NCc1cc(=O)[nH]nc1Cc1ccccc1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1nn(C)c(C)c1NC(=O)c1cc(C(C)O)nc2ccccc12,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,Cc1ccc(NC(=O)NC(=O)N2CCc3ncccc3C2)c(C)c1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,O=C1NCCc2cccc(OCc3cccc(C4=NC=N4)c3)c2N1,156461678
C1=CC=C2C(=C1)C=C(N2)CNC(=O)C3=CC(=O)N4C=CC=CC4=N3,CC1=CCC(C)=C1NC(=O)c1nc(CO)cc(-c2ccccn2)n1,156461678
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,Cc1cc(=NNC(=O)NC2(CO)CC3CC(O)C(C3)C2)[nH]cc1Br,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC(C)NC(=O)NNC(=O)NC(C)C(=O)NC1CC1C1=CCC(Br)=C1,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1CC(NC=O)CCC1NC(=O)NC(=O)Nc1ccc(Br)cc1N,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC12NC(=N)C(=C(N)N)C=C1OC(Cc1ccc(Br)cc1)C(=O)N2,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC(Oc1cccc(Br)c1NC(=O)N1CC2CC1CC2N)C(N)=O,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1=CC(=CC(C)Br)NNC(=O)C(=O)NNC(=O)NC2CCCCC12,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,C=CC1NC(=O)NCC(=O)Nc2ccc(Br)cc2C(=O)NCC=C1N,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1CC(NC(=O)Nc2[nH]c3cc(Br)cc(N)c3c2C(N)=O)CCO1,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1=C(C(N)=O)C(C2=CCC(Br)=C2)NC(=O)NCCCNC(=O)N1C,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,NCCC1CCC(NC(=O)Nc2ccc(NC(=O)C(N)=O)c(Br)c2)C1,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC(N)C(=O)N(C)c1cccc(NC(=O)NC(C)(C(N)=O)C(C)Br)c1,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1Oc2ccccc2OCC(=O)NNC(N)=NC(=N)C1=CC=CBr,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,Cc1cc(Br)cc(NNC(=O)C(=O)NNC(=O)C2CCC(C)C2)c1N,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1(O)C(=N)NNC(=N)CC1(CCOCc1cccc(Br)c1)C(N)=O,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,NC(=CC=CBr)C12CCNCC1C2CNC(=O)CNC(=O)NCCO,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1C=C(CCNC(=O)NNC(=O)Nc2ccccc2Br)CNC1=O,163239225
C1C(CC1N)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1C=C(N=C(Oc2cc(N)nc(Br)n2)C(CCO)C(N)=O)CCC1,163239225
